youthidCUF,classidCUF,schoolidCUF,schtype_geRV,y1_sex,y1_doby,y1_nationRV,y1_lpsc1,y1_lpsc2,y1_lpsc3,y1_lpsc4,y1_fact,y1_sat2,y1_pbsch1,y1_pbsch2,y1_pbsch3,y1_pbsch4,y1_del1,y1_del2,y1_del3,y1_del4,y1_vict1,y1_vict2,y1_vict3,y1_pdisc1,y1_pdisc2,y1_pdisc3,y1_pdisc4,y1_date,y1_contm,y1_gawm,y1_contf,y1_gawf,y1_penc1,y1_penc2,y1_penc3,y1_fcoh1,y1_fcoh2,y1_fcoh3,y1_fcoh4,y1_fcoh5,y1_pdem1,y1_pdem2,y1_pdem3,y1_pdem4,y1_pdem5,y1_pdem6,y1_pdem7,y1_pinv1,y1_pinv2,y1_pinv3,y1_tenc1,y1_tenc2,classid.x,neg_indegree,neg_outdegree,neg_isolate,classid.y,pos_indegree,pos_outdegree,pos_isolate,n_mutual_bfs,non_reciprocal,num_bfs,sex,schooltype,nationality,age,language,gender,problem_behaviors,delinquency_history,delinquency_count,victim_history,victim_history_score,parent_relation,teacher_support,teacher_help,teacher_encouragement,classid.f,schoolid.f
10440118,104401,1044,1,2,1996,2,3,4,3,3,4,9,1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,1,3,2,2,1,1,1,2,4,2,4,3,1,4,4,5,1,1,1,4,4,2,1,2,104401,0,4,0,104401,0,5,0,0,5,5,2,1,German and other nationality,14,13,Girl,1,no,0,0,0,2,3,1,2,104401,1044
10440121,104401,1044,1,2,1994,3,3,3,3,3,4,6,3,1,0,1,0,0,0,0,0,0,0,4,4,4,2,1,1,3,5,NA,2,2,3,3,4,1,4,3,2,4,5,4,2,2,3,1,1,1,2,1,104401,2,5,0,104401,1,5,0,1,4,5,2,1,Only other nationality,16,12,Girl,5,no,0,0,0,NA,3,2,1,104401,1044
10440211,104402,1044,1,1,1995,3,2,3,2,2,4,7,1,0,0,1,0,0,0,0,0,0,0,4,4,3,3,2,1,2,5,NA,2,2,2,1,3,3,4,3,2,4,4,4,2,1,2,2,4,3,2,2,104402,0,1,0,104402,2,5,0,1,4,5,1,1,Only other nationality,15,9,Boy,2,no,0,0,0,NA,4,2,2,104402,1044
10440213,104402,1044,1,1,1995,3,2,3,2,2,3,8,0,0,0,0,0,0,0,0,0,4,4,3,4,4,4,2,1,3,1,3,2,2,1,1,4,3,4,3,1,4,5,5,1,1,2,3,5,3,2,2,104402,1,3,0,104402,0,3,0,0,4,3,1,1,Only other nationality,15,9,Boy,0,no,0,0,8,3,4,2,2,104402,1044
10440214,104402,1044,1,2,1994,3,2,2,3,2,4,10,1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,1,3,1,3,1,1,5,1,4,1,4,4,1,5,5,5,1,1,1,5,5,3,1,5,104402,2,5,0,104402,0,1,0,0,2,1,2,1,Only other nationality,16,9,Girl,1,no,0,0,0,3,6,1,5,104402,1044
10440219,104402,1044,1,2,1995,1,3,3,4,3,4,8,1,0,1,2,0,0,1,1,0,0,0,4,4,4,4,1,1,3,1,2,2,1,2,3,4,2,4,4,3,4,4,4,2,2,2,3,4,4,3,2,104402,0,5,0,104402,1,1,0,1,1,1,2,1,German only,15,13,Girl,4,yes,2,0,0,2,5,3,2,104402,1044
10440220,104402,1044,1,2,1994,1,4,4,4,3,4,2,4,1,1,2,0,0,1,1,0,2,0,2,4,4,1,2,1,0,3,2,1,2,2,3,3,3,3,2,3,4,3,2,2,2,4,2,2,2,2,4,104402,1,5,0,104402,1,1,0,1,1,1,2,1,German only,16,15,Girl,8,yes,2,1,2,1,6,2,4,104402,1044
10480111,104801,1048,1,1,1995,1,3,4,4,3,3,9,0,0,0,0,NA,NA,NA,NA,2,2,0,4,4,4,4,2,1,3,1,3,2,2,2,1,4,1,4,3,1,3,4,3,1,1,1,3,3,2,3,3,104801,1,4,0,104801,1,2,0,1,2,2,1,1,German only,15,14,Boy,0,NA,NA,1,4,3,6,3,3,104801,1048
10480116,104801,1048,1,2,1994,1,4,4,4,4,4,8,0,1,0,0,NA,NA,NA,NA,0,0,0,3,4,4,4,2,1,1,1,2,2,2,1,3,3,4,1,1,5,2,4,1,3,3,5,4,5,4,2,2,104801,0,5,0,104801,3,5,0,2,3,5,2,1,German only,16,16,Girl,1,NA,NA,0,0,2,4,2,2,104801,1048
10480117,104801,1048,1,2,1996,1,3,3,2,2,3,5,1,1,0,1,NA,NA,NA,NA,0,2,0,3,4,3,3,1,1,2,1,2,2,2,2,2,3,2,3,3,4,3,2,2,2,2,2,2,3,2,3,2,104801,0,4,0,104801,1,4,0,1,4,4,2,1,German only,14,10,Girl,3,NA,NA,1,2,2,5,3,2,104801,1048
10480118,104801,1048,1,2,1995,1,2,2,2,2,3,5,0,1,0,1,NA,NA,NA,NA,0,2,0,3,3,4,4,1,1,2,3,3,2,2,2,3,2,3,3,3,2,3,3,3,2,2,2,2,3,2,4,4,104801,0,5,0,104801,3,5,0,2,3,5,2,1,German only,15,8,Girl,2,NA,NA,1,2,2,8,4,4,104801,1048
10480123,104801,1048,1,2,1995,1,4,3,3,3,4,6,0,0,0,1,NA,NA,NA,NA,2,4,4,3,4,4,4,2,1,3,2,3,2,1,1,2,3,2,4,3,3,4,5,5,2,1,1,3,5,3,2,3,104801,0,5,0,104801,1,5,0,1,4,5,2,1,German only,15,13,Girl,1,NA,NA,1,10,3,5,2,3,104801,1048
10480213,104802,1048,1,2,1995,3,2,4,3,4,4,9,0,0,0,1,NA,NA,NA,NA,2,2,0,4,4,4,4,2,1,3,1,3,1,1,1,3,2,2,3,4,2,3,3,3,2,1,2,3,5,2,1,1,104802,1,4,0,104802,2,4,0,1,4,4,2,1,Only other nationality,15,13,Girl,1,NA,NA,1,4,3,2,1,1,104802,1048
10480217,104802,1048,1,2,1995,1,2,2,1,1,4,10,0,0,0,0,NA,NA,NA,NA,0,0,0,4,4,4,4,2,1,3,1,3,1,1,1,1,4,1,4,4,1,5,5,5,1,1,1,5,5,5,2,2,104802,1,5,0,104802,0,3,0,0,4,3,2,1,German only,15,6,Girl,0,NA,NA,0,0,3,4,2,2,104802,1048
10480220,104802,1048,1,2,1995,3,2,3,2,2,4,10,0,0,0,1,NA,NA,NA,NA,0,0,0,4,4,4,4,1,1,3,1,2,1,1,2,3,2,4,3,3,3,2,4,4,2,2,2,4,2,1,1,2,104802,0,4,0,104802,1,2,0,0,3,2,2,1,Only other nationality,15,9,Girl,1,NA,NA,0,0,2,3,1,2,104802,1048
10480221,104802,1048,1,2,1995,3,2,2,3,2,4,3,0,0,0,1,NA,NA,NA,NA,0,0,0,3,4,3,4,1,1,2,1,2,1,1,2,2,1,2,3,4,2,2,3,4,1,1,2,1,2,1,2,2,104802,0,3,0,104802,1,2,0,1,2,2,2,1,Only other nationality,15,9,Girl,1,NA,NA,0,0,2,4,2,2,104802,1048
11520111,115201,1152,3,1,1996,1,3,3,4,3,4,5,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,1,3,2,3,1,1,1,3,3,3,4,4,1,5,1,4,1,1,1,4,2,3,3,4,115201,0,3,0,115201,6,4,0,3,2,4,1,3,German only,14,13,Boy,0,no,0,0,0,3,7,3,4,115201,1152
11520112,115201,1152,3,1,1996,1,4,4,4,3,4,8,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,1,3,1,3,1,1,1,2,4,1,4,4,1,4,4,4,1,1,1,4,4,5,2,2,115201,0,2,0,115201,2,5,0,2,3,5,1,3,German only,14,15,Boy,0,no,0,0,0,3,4,2,2,115201,1152
11520113,115201,1152,3,1,1996,1,3,4,3,3,4,3,1,0,0,0,0,0,0,0,4,5,4,2,4,4,4,1,1,2,1,2,1,1,2,2,3,2,4,2,3,1,2,1,2,3,2,2,4,4,2,3,115201,0,5,0,115201,2,5,0,2,3,5,1,3,German only,14,13,Boy,1,no,0,0,13,2,5,2,3,115201,1152
11520114,115201,1152,3,2,1996,1,4,4,4,4,4,8,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,2,1,3,5,NA,3,2,4,3,4,2,4,3,2,5,4,3,1,1,2,3,2,2,3,2,115201,0,2,0,115201,3,3,0,2,2,3,2,3,German only,14,16,Girl,1,no,0,0,0,NA,5,3,2,115201,1152
11520115,115201,1152,3,1,1994,2,3,3,2,2,4,7,1,1,0,2,0,0,0,0,2,0,0,3,4,4,4,2,1,3,1,3,2,2,2,3,4,3,4,4,3,2,3,3,3,2,3,2,3,2,3,3,115201,0,1,0,115201,6,5,0,4,1,5,1,3,German and other nationality,16,10,Boy,4,no,0,1,2,3,6,3,3,115201,1152
11520118,115201,1152,3,2,1994,NA,3,3,2,2,4,4,0,0,0,1,1,0,0,1,2,2,2,3,4,4,4,2,1,1,5,NA,1,1,2,3,3,3,3,2,4,2,2,2,4,2,4,2,4,2,2,2,115201,1,3,0,115201,2,3,0,2,2,3,2,3,NA,16,10,Girl,1,yes,2,1,6,NA,4,2,2,115201,1152
11520119,115201,1152,3,1,1996,1,3,4,3,3,3,10,0,0,0,0,0,0,0,0,4,4,2,4,4,4,4,2,1,3,2,3,1,1,2,1,3,2,4,3,1,4,5,5,1,1,1,2,2,2,3,2,115201,3,5,0,115201,2,5,0,2,3,5,1,3,German only,14,13,Boy,0,no,0,1,10,3,5,3,2,115201,1152
11520120,115201,1152,3,2,1995,1,3,3,4,4,4,8,0,0,0,1,0,0,0,0,0,0,0,4,3,4,4,2,1,3,2,3,2,2,3,2,4,2,4,4,2,5,5,4,2,1,3,3,2,2,2,2,115201,12,5,0,115201,1,3,0,1,3,3,2,3,German only,15,14,Girl,1,no,0,0,0,3,4,2,2,115201,1152
11520123,115201,1152,3,2,1996,1,3,3,2,2,3,5,0,0,0,1,0,0,0,0,0,0,0,4,2,2,3,1,3,3,1,2,1,1,1,3,2,3,3,2,3,4,2,2,3,2,3,2,2,3,2,2,115201,1,3,0,115201,2,3,0,2,2,3,2,3,German only,14,10,Girl,1,no,0,0,0,2,4,2,2,115201,1152
11520124,115201,1152,3,1,1994,2,3,3,4,4,4,2,1,0,0,1,0,0,0,0,0,2,2,3,4,4,4,2,1,2,5,NA,1,1,2,3,2,3,3,3,2,4,5,4,2,2,2,4,5,4,3,3,115201,4,3,0,115201,3,3,0,2,2,3,1,3,German and other nationality,16,14,Boy,2,no,0,1,4,NA,6,3,3,115201,1152
11520125,115201,1152,3,1,1995,2,3,3,3,3,4,9,1,1,0,2,0,0,0,0,0,0,0,4,4,4,2,2,1,2,1,2,2,1,2,3,3,3,3,3,2,3,4,4,2,1,2,4,4,3,4,4,115201,3,5,0,115201,0,4,0,0,5,4,1,3,German and other nationality,15,12,Boy,4,no,0,0,0,2,8,4,4,115201,1152
11520212,115202,1152,3,1,1994,3,3,3,3,3,4,6,1,1,1,2,0,0,0,1,0,0,0,3,3,4,4,1,1,2,4,3,3,2,2,4,3,4,2,2,3,3,3,2,2,2,3,3,3,3,3,4,115202,9,5,0,115202,1,3,0,1,3,3,1,3,Only other nationality,16,12,Boy,5,yes,1,0,0,2,7,3,4,115202,1152
11520214,115202,1152,3,1,1996,3,3,3,3,2,4,5,0,1,0,1,0,0,0,0,0,0,0,3,4,3,2,2,1,3,4,2,2,2,3,3,4,3,4,3,2,4,4,4,2,2,2,5,5,4,2,3,115202,1,4,0,115202,5,5,0,3,2,5,1,3,Only other nationality,14,11,Boy,2,no,0,0,0,2,5,2,3,115202,1152
11520215,115202,1152,3,1,1996,2,3,3,3,2,4,5,2,1,0,0,0,0,0,0,0,0,0,4,4,4,3,2,1,2,5,NA,1,1,2,3,3,2,4,2,2,2,2,3,1,1,1,1,2,4,3,4,115202,0,4,0,115202,2,4,0,2,3,4,1,3,German and other nationality,14,11,Boy,3,no,0,0,0,NA,7,3,4,115202,1152
11520216,115202,1152,3,1,1996,2,3,3,4,3,4,9,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,1,3,1,3,1,1,1,1,4,1,4,4,1,2,4,3,1,1,1,1,2,1,2,2,115202,0,4,0,115202,0,5,0,0,5,5,1,3,German and other nationality,14,13,Boy,0,no,0,0,0,3,4,2,2,115202,1152
11520219,115202,1152,3,1,1996,1,3,3,2,3,3,8,0,1,0,0,0,0,0,0,0,0,0,2,4,4,4,1,1,3,1,3,2,2,2,2,3,2,3,4,1,3,4,4,2,2,2,3,2,2,2,3,115202,0,5,0,115202,3,5,0,2,3,5,1,3,German only,14,11,Boy,1,no,0,0,0,3,5,2,3,115202,1152
11520220,115202,1152,3,2,1995,1,4,3,2,2,4,7,0,0,0,0,0,0,0,0,4,2,0,3,4,4,2,1,1,2,4,1,4,4,5,3,4,2,4,3,2,5,5,5,2,2,4,4,4,5,2,2,115202,3,3,0,115202,2,3,0,2,2,3,2,3,German only,15,11,Girl,0,no,0,1,6,2,4,2,2,115202,1152
11520221,115202,1152,3,2,1995,2,3,4,3,3,4,3,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,1,1,3,3,2,2,1,3,3,4,2,4,2,2,3,4,2,2,1,3,3,3,3,3,3,115202,2,3,0,115202,3,3,0,2,2,3,2,3,German and other nationality,15,13,Girl,1,no,0,0,0,2,6,3,3,115202,1152
11520222,115202,1152,3,1,1995,3,3,3,4,3,4,7,0,0,0,1,0,0,0,0,2,0,0,3,4,4,4,2,1,3,5,NA,1,1,1,2,4,3,4,3,3,3,3,4,2,1,2,4,2,3,2,2,115202,2,3,0,115202,0,3,0,0,4,3,1,3,Only other nationality,15,13,Boy,1,no,0,1,2,NA,4,2,2,115202,1152
11520223,115202,1152,3,2,1995,3,3,4,3,3,4,5,2,1,0,2,0,0,0,0,0,2,0,2,2,4,2,2,1,1,1,3,2,4,3,3,3,3,4,3,2,2,1,2,2,3,2,3,3,1,4,3,115202,0,5,0,115202,4,5,0,4,1,5,2,3,Only other nationality,15,13,Girl,5,no,0,1,2,2,7,4,3,115202,1152
11520224,115202,1152,3,2,1996,3,4,4,4,4,4,8,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,1,1,3,1,3,1,1,4,1,4,1,4,4,5,4,5,5,2,1,1,3,5,2,2,3,115202,4,5,0,115202,4,3,0,3,1,3,2,3,Only other nationality,14,16,Girl,1,no,0,0,0,3,5,2,3,115202,1152
11630110,116301,1163,4,1,1996,1,3,3,3,3,4,10,1,1,1,2,0,0,1,0,2,2,0,3,4,4,4,2,1,2,1,2,1,1,1,2,2,3,2,2,2,4,3,3,2,2,2,3,3,3,1,2,116301,1,3,0,116301,5,5,0,1,4,5,1,4,German only,14,12,Boy,5,yes,1,1,4,2,3,1,2,116301,1163
11630111,116301,1163,4,2,1996,1,3,3,3,3,4,7,1,1,0,1,0,0,0,0,2,2,0,3,3,4,4,2,1,2,1,2,1,2,2,3,4,2,4,4,2,4,4,4,2,2,2,3,3,4,2,3,116301,1,5,0,116301,4,5,0,4,1,5,2,4,German only,14,12,Girl,3,no,0,1,4,2,5,2,3,116301,1163
11630113,116301,1163,4,1,1995,1,4,4,4,3,1,8,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,2,1,3,1,3,1,2,1,1,4,2,4,2,2,4,3,4,1,2,2,2,3,4,1,2,116301,1,4,0,116301,2,4,0,2,3,4,1,4,German only,15,15,Boy,1,no,0,0,0,3,3,1,2,116301,1163
11630114,116301,1163,4,1,1995,1,3,4,4,3,3,5,1,1,0,2,0,0,0,0,0,0,0,3,4,4,4,2,1,2,1,2,1,1,1,2,4,2,3,3,1,4,4,4,1,2,2,4,2,2,2,2,116301,3,5,0,116301,5,4,0,3,2,4,1,4,German only,15,14,Boy,4,no,0,0,0,2,4,2,2,116301,1163
11630115,116301,1163,4,2,1995,1,2,3,2,3,4,8,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,1,3,1,2,1,2,2,2,4,2,4,3,1,4,4,5,1,1,2,4,2,2,1,2,116301,1,3,0,116301,4,5,0,3,2,5,2,4,German only,15,10,Girl,0,no,0,0,0,2,3,1,2,116301,1163
11630118,116301,1163,4,2,1996,3,3,4,3,3,NA,7,0,0,0,1,NA,NA,NA,NA,0,0,0,4,4,4,4,1,1,3,1,3,2,1,1,2,4,NA,4,3,1,4,4,4,1,1,1,2,2,2,1,2,116301,5,1,0,116301,4,4,0,3,2,4,2,4,Only other nationality,14,13,Girl,1,NA,NA,0,0,3,3,1,2,116301,1163
11630119,116301,1163,4,1,1996,1,4,4,4,3,3,10,1,0,0,1,0,0,1,1,0,0,0,4,4,4,4,2,1,3,1,2,2,2,3,2,3,3,4,4,2,4,5,4,1,1,2,3,4,5,2,2,116301,2,4,0,116301,2,4,0,1,4,4,1,4,German only,14,15,Boy,2,yes,2,0,0,2,4,2,2,116301,1163
11630120,116301,1163,4,1,1996,1,4,4,4,3,3,9,0,1,0,2,0,0,0,0,0,2,0,4,4,4,4,2,1,2,1,2,1,1,1,2,3,2,3,3,2,3,3,2,1,2,2,2,2,1,1,1,116301,5,1,0,116301,0,2,0,0,3,2,1,4,German only,14,15,Boy,3,no,0,1,2,2,2,1,1,116301,1163
11630123,116301,1163,4,1,1995,1,4,4,4,4,4,5,1,1,0,1,0,0,0,1,0,0,0,3,4,4,3,2,1,2,1,2,2,2,1,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,116301,2,4,0,116301,5,5,0,3,2,5,1,4,German only,15,16,Boy,3,yes,1,0,0,2,4,2,2,116301,1163
11630124,116301,1163,4,1,1995,1,3,3,4,3,3,10,1,0,0,0,0,0,0,0,4,0,0,3,3,4,4,1,1,3,1,3,1,1,1,3,3,NA,2,3,2,5,4,4,2,2,1,3,2,2,2,2,116301,14,5,0,116301,0,5,0,0,5,5,1,4,German only,15,13,Boy,1,no,0,0,4,3,4,2,2,116301,1163
11630126,116301,1163,4,2,1996,1,4,4,4,4,3,6,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,2,1,2,1,2,2,4,3,3,3,4,3,2,5,2,3,3,4,5,5,3,4,3,3,2,116301,1,3,0,116301,2,5,0,2,3,5,2,4,German only,14,16,Girl,0,no,0,0,0,2,5,3,2,116301,1163
11630127,116301,1163,4,2,1996,1,4,4,4,4,3,8,1,1,1,1,0,0,0,0,0,2,0,3,4,4,4,2,1,2,4,2,2,1,1,3,4,1,4,3,2,4,4,4,2,1,2,3,2,3,2,2,116301,1,5,0,116301,3,4,0,3,2,4,2,4,German only,14,16,Girl,4,no,0,1,2,2,4,2,2,116301,1163
11630128,116301,1163,4,2,1995,1,4,4,4,4,4,7,0,1,0,1,0,0,0,0,0,0,0,4,4,4,4,2,1,3,1,3,2,2,2,3,4,3,4,4,1,3,5,4,1,1,1,4,3,5,2,3,116301,3,5,0,116301,2,5,0,2,3,5,2,4,German only,15,16,Girl,2,no,0,0,0,3,5,2,3,116301,1163
11630130,116301,1163,4,2,1995,1,3,4,4,3,4,9,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,1,2,5,NA,1,1,2,3,3,2,4,4,1,4,4,4,1,1,2,1,1,1,2,1,116301,1,2,0,116301,3,5,0,3,2,5,2,4,German only,15,14,Girl,0,no,0,0,0,NA,3,2,1,116301,1163
11630132,116301,1163,4,2,1996,1,2,3,3,2,4,10,0,1,0,0,0,1,0,0,0,0,0,4,4,4,4,2,1,3,2,3,2,2,3,3,4,3,4,3,2,4,4,4,2,1,3,3,2,2,3,2,116301,1,3,0,116301,3,4,0,3,2,4,2,4,German only,14,10,Girl,1,yes,1,0,0,3,5,3,2,116301,1163
13620110,136201,1362,3,2,1996,1,3,4,3,3,3,8,0,0,0,2,0,0,0,0,0,0,0,4,4,4,4,2,1,2,2,2,3,2,2,3,4,4,4,3,3,4,4,4,2,3,3,4,4,3,3,3,136201,2,3,0,136201,2,2,0,2,1,2,2,3,German only,14,13,Girl,2,no,0,0,0,2,6,3,3,136201,1362
13620111,136201,1362,3,2,1996,1,4,4,3,3,4,9,0,0,0,0,0,0,0,0,2,2,0,3,4,4,4,2,1,2,5,NA,2,1,2,2,4,2,4,4,2,4,4,4,2,2,2,4,2,2,2,2,136201,2,0,0,136201,6,5,0,5,0,5,2,3,German only,14,14,Girl,0,no,0,1,4,NA,4,2,2,136201,1362
13620112,136201,1362,3,2,1995,1,3,4,2,3,4,5,0,1,0,0,0,0,0,0,0,0,0,4,4,4,3,2,1,2,1,1,2,5,5,3,1,4,3,2,4,2,4,2,4,3,5,5,5,5,3,3,136201,4,4,0,136201,1,5,0,1,4,5,2,3,German only,15,12,Girl,1,no,0,0,0,2,6,3,3,136201,1362
13620114,136201,1362,3,2,1996,1,3,3,2,2,4,8,0,1,0,1,0,0,0,0,2,2,2,4,4,3,4,2,1,2,1,2,2,2,2,3,4,2,3,3,3,3,3,3,3,3,3,2,3,2,2,3,136201,0,1,0,136201,6,5,0,5,0,5,2,3,German only,14,10,Girl,2,no,0,1,6,2,5,2,3,136201,1362
13620115,136201,1362,3,2,1996,1,3,3,2,2,4,7,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,1,3,1,3,2,2,2,2,4,3,4,4,2,4,4,4,2,2,2,3,2,2,3,3,136201,5,5,0,136201,5,4,0,4,1,4,2,3,German only,14,10,Girl,0,no,0,0,0,3,6,3,3,136201,1362
